순,학교(출발),천안아산역,학교(도착)
1,9:00,9:15,9:30
2,12:00,12:15,12:30
3,16:00,16:15,16:30
4,18:00,18:15,18:30
5,19:30,19;45,20:00
6,20:30,20:45,21:00
