순,학교(출발),,주은아파트,,온양온천역,,아산터미널,,권곡초,,학교(도착),운행 특이사항
1,Χ,,8:00,,8:10,,8:15,,경유,,8:40,
2,Χ,,Χ,,8:45,,8:50,,경유,,9:15,금(X)
3,Χ,,8:40,,8:50,,8:55,,경유,,9:20,
4,10:25,,경유,,10:55,,11:00,,경유,,11:20,
5,15:30,,경유,,16:00,,16:05,,경유,,16:25,
6,17:30,,경유,,18:00,,18:05,,경유,,18:25,금(X)
7,18:30,,경유,,19:00,,19:05,,경유,,19:05,
